Column1,time
1888,page not found
1889,no 500m race
1890,no 500m race
1891,no 500m race
1892,page not found
1893,"51,0"
1894,"50,4"
1895,"48,2"
1896,"50,2"
1897,no 500m race
1898,"47,2"
1899,"50,5"
1900,"46,4"
1901,"54,0"
1902,"47,0"
1903,"49,4"
1904,"46,6"
1905,"49,8"
1906,"50,8"
1907,"47,4"
1908,"44,8"
1909,"45,6"
1910,"46,3"
1911,"46,4"
1912,"44,2"
1913,"46,0"
1914,"45,3"
1915,page not found
1916,page not found
1917,page not found
1918,page not found
1919,page not found
1920,page not found
1921,page not found
1922,"43,6"
1923,"45,2"
1924,"45,0"
1925,"44,7"
1926,"44,7"
1927,"46,3"
1928,"43,1"
1929,"43,1"
1930,"43,8"
1931,winner not found - please add data by hand
1932,"44,4"
1933,"43,5"
1934,"49,9"
1935,"43,6"
1936,"42,6"
1937,"42,9"
1938,"41,8"
1939,"44,8"
1940,page not found
1941,page not found
1942,page not found
1943,page not found
1944,page not found
1945,page not found
1946,page not found
1947,"44,3"
1948,"43,9"
1949,"46,3"
1950,"47,3"
1951,"43,0"
1952,"43,4"
1953,"43,1"
1954,"44,1"
1955,"42,6"
1956,"41,9"
1957,"42,3"
1958,"44,2"
1959,"42,4"
1960,"40,5"
1961,"41,7"
1962,"41,7"
1963,"39,8"
1964,"41,1"
1965,"40,7"
1966,"40,9"
1967,"40,9"
1968,"40,30"
1969,"40,10"
1970,"40,15"
1971,"40,31"
1972,"40,14"
1973,"42,00"
1974,"40,00"
1975,"40,30"
1976,"39,11"
1977,"38,80"
1978,"39,01"
1979,"38,22"
1980,"39,82"
1981,"38,72"
1982,"38,53"
1983,"38,93"
1984,winner not found - please add data by hand
1985,"38,00"
1986,"37,99"
1987,no 500m race
1988,"36,89"
1989,"38,12"
1990,"37,37"
1991,"37,52"
1992,"37,07"
1993,"37,68"
1994,"38,39"
1995,"37,91"
1996,"37,10"
1997,"37,14"
1998,"36,48"
1999,"36,29"
2000,"36,01"
2001,"37,55"
2002,"36,39"
2003,"36,89"
2004,"35,78"
2005,"36,28"
2006,"35,17"
2007,"35,79"
2008,"35,81"
2009,"35,55"
2010,"35,68"
2011,"35,08"
2012,"36,24"
2013,"35,80"
2014,"35,91"
2015,"34,98"
2016,"35,84"
2017,"36,00"
2018,no 500m race
2019,"35,53"
2020,"36,17"
